name,hasBoundRole2,type,label,hasBoundRole1
Binding_811,['Role_Frame_Life_life_liver'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Romantic relationship.romantic_relationship_participant=Life.life_liver'],['Role_Frame_Romantic_relationship_romantic_relationship_participant']
Binding_964,['Role_Frame_Containing_contents'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Vehicle.freight=Containing.contents'],['Role_Frame_Vehicle_freight']
Binding_703,['Role_Frame_Experience_pain_pain'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Physical affliction.symptoms=Experience pain.pain'],['Role_Frame_Physical_affliction_symptoms']
Binding_902,['Role_Frame_Bounded_entity_entity_exterior'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Surface.surface=Bounded entity.entity_exterior'],['Role_Frame_Surface_surface']
Binding_912,['Role_Frame_Create_object_creation_action'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Textile.textile_creation_action=Create_object.creation_action'],['Role_Frame_Textile_textile_creation_action']
Binding_41,['Role_Frame_Emotional_emotional_action'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Anger.angry_action=Emotional.emotional_action'],['Role_Frame_Anger_angry_action']
Binding_254,['Role_Frame_Caused_change_of_state_final_state'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Dissect.entity_in_pieces=Caused change of state.final_state'],['Role_Frame_Dissect_entity_in_pieces']
Binding_967,['Role_Frame_Mode_of_transportation_transportation_vehicle'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Vehicle.vehicle=Mode_of_transportation.transportation_vehicle'],['Role_Frame_Vehicle_vehicle']
Binding_109,['Role_Frame_Entity_entity'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Bounded entity.bounded_entity=Entity.entity'],['Role_Frame_Bounded_entity_bounded_entity']
Binding_658,['Role_Frame_Political_region_governing_instituion'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Nation.national_government=Political region.governing_instituion'],['Role_Frame_Nation_national_government']
Binding_760,['Role_Frame_Bounded_region_interior'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Proximal distal.proximal region=Bounded region.interior'],['Role_Frame_Proximal_distal_proximal_region']
Binding_972,['Role_Frame_Affected_motion_cause'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Vehicular motion.vehicle_control_x-schema=Affected motion.cause'],['Role_Frame_Vehicular_motion_vehicle_control_x_schema']
Binding_767,['Role_Frame_Harm_harmed_entity'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Punishment.punishee=Harm.harmed_entity'],['Role_Frame_Punishment_punishee']
Binding_889,['Role_Frame_Stability_Complex_physical_object'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Stability.stablity_entity=Complex physical object'],['Role_Frame_Stability_stablity_entity']
Binding_7,['Role_Frame_Access_barrier_to_access'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Access to an object.barrier_to_access=Access.barrier_to_access'],['Role_Frame_Access_to_an_object_barrier_to_access']
Binding_765,['Role_Frame_Trajector_landmark_profiled_region'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Proximity.profiled_region=Trajector landmark.profiled_region'],['Role_Frame_Proximity_profiled_region']
Binding_672,['Role_Frame_Family_family_whole'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Nuclear family.family_whole=Family.family_whole'],['Role_Frame_Nuclear_family_family_whole']
Binding_573,['Role_Frame_Government_decision_making_introduction_of_entity_under_consideration'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Legislation enactment.legislation_proposal=Government decision making.introduction_of_entity_under_consideration'],['Role_Frame_Legislation_enactment_legislation_proposal']
Binding_233,['Role_Frame_Moral_authority_moral_authority_obeyer'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Deity.believer=Moral authority.moral_authority_obeyer'],['Role_Frame_Deity_believer']
Binding_725,['Role_Frame_Biological_entity_organism'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Plants.plant_entity=Biological entity.organism'],['Role_Frame_Plants_plant_entity']
Binding_188,['Role_Frame_Part_whole_part'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Containment.interior=Part_whole.part'],['Role_Frame_Containment_interior']
Binding_380,['Role_Frame_Affected_motion_motion'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Forced motion.motion_x-schema=Affected motion.motion'],['Role_Frame_Forced_motion_motion_x_schema']
Binding_436,['Role_Frame_X_schema_final'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Government decision making.decison_making_outcome=X-schema.final'],['Role_Frame_Government_decision_making_decison_making_outcome']
Binding_433,['Role_Frame_Caused_change_of_state_transition'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Government decision making.entity_under_consideration_ongoing_state=Caused change of state.transition'],['Role_Frame_Government_decision_making_entity_under_consideration_ongoing_state']
Binding_652,['Role_Frame_Motion_affecting_external_factors_mover'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Motion-affecting objects.mover=Motion-affecting external factors.mover'],['Role_Frame_Motion_affecting_objects_mover']
Binding_489,['Role_Frame_Causation_affected'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Harm.harmed_entity=Causation.affected'],['Role_Frame_Harm_harmed_entity']
Binding_402,['Role_Frame_Government_governing_objectives'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Governing action.governing_objectives=Government.governing_objectives'],['Role_Frame_Governing_action_governing_objectives']
Binding_452,['Role_Frame_Institution_institution_whole'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Government institution.government_whole=Institution.institution_whole'],['Role_Frame_Government_institution_government_whole']
Binding_546,['Role_Frame_Government_decision_making_entity_under_consideration'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Judicial decision-making.judged_party=Government decision making.entity_under_consideration'],['Role_Frame_Judicial_decision_making_judged_party']
Binding_1005,['Role_Frame_Rights_rights_holder'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Voting rights.enfranchised_voter=Rights.rights_holder'],['Role_Frame_Voting_rights_enfranchised_voter']
Binding_526,['Role_Frame_Bounded_region_boundary'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Into.landmark=Bounded region.boundary'],['Role_Frame_Into_landmark']
Binding_394,['Role_Frame_Recreational_competition_competitor_1'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Game.game player1=Recreational competition.competitor_1'],['Role_Frame_Game_game_player1']
Binding_30,['Role_Frame_Evaluation_behavior'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Analysis.object_characteristics=Evaluation.behavior'],['Role_Frame_Analysis_object_characteristics']
